facility,device_id
os-jovan-kursula-kraljevo,349454004054
os-jovan-popovic-krusevac,349454004EBC
os-velizar-stankovic-korcagin-krusevac,349454004300
os-knez-lazar-veliki-kupci,34945400557C
os-sveti-sava-cacak,349454002FD4
os-tanasko-rajic-cacak,0CDC7E3D9E28
prehrambeno-ugostiteljska-skola-cacak,0CDC7E3DC33C
tehnicka-skola-gornji-milanovac,0CDC7E3DD34C
os-desanka-maksimovic-gornji-milanovac,3494540033F4
os-ivo-andric-pranjani,0CDC7E3DD1CC
os-rifat-burdzevic-trso-novi-pazar,3494540033D4
os-mesa-selimovic-novi-pazar,349454003850
os-halifa-bin-zaid-al-nahjan-dojevice,0CDC7E3DE3F0
os-raska,349454004660
os-sutjeska-raska,0CDC7E3DA61C
os-josif-pancic-baljevac,0CDC7E3DA5D0
os-mito-igumanovic-kosjeric,349454004F48
tehnicka-skola-kosjeric,349454002174
os-jordan-djukanovic-varda,349454003168
ovc-braca-nedic-osecina,349454002878
os-vojvoda-misic-pecka,3494540021F8
os-sveti-sava-bajina-basta,349454002C8C
tehnicka-skola-bajina-basta,0CDC7E3DA880
os-dusan-jerkovic-bajina-basta,0CDC7E3DE4C0
os-mika-mitrovic-bogatic,349454004DC8
os-vuk-karadzic-bogatic,3494540029D8
os-janko-veselinovic-bogatic,0CDC7E3D8B7C
os-zivko-ljujic-nova-varos,0CDC7E3ECFFC
srednja-skola-nova-varos,0CDC7E3D9858
os-gojko-drulovic-nova-varos,0CDC7E3CAC70
os-svetozar-markovic-brodarevo,0CDC7E3CF1E0
os-milosav-stikovic-prijepolje,0CDC7E3CC028
gimnazija-prijepolje,0CDC7E3CF5E0
os-vuk-karadzic-loznica,0CDC7E3CE318
os-slobodan-sekulic-uzice,0CDC7E3CD804
os-nikola-tesla-pribojska-banja,0CDC7E3CF558
medicinska-skola-uzice,0CDC7E3CC414
os-desanka-maksimovic-priboj,0CDC7E3CF3BC
os-jovan-cvijic-loznica,0CDC7E3EBC94
tehnicka-skola-uzice,0CDC7E3DED24
os-vuk-karadzic-priboj,0CDC7E3EB50C
tehnicka-skola-loznica,0CDC7E3E1DD0
hemijsko-tehnoloska-skola-krusevac,0CDC7E3E07A4
os-jovan-popovic-krusevac,A848FA93F3D4
os-velizar-stankovic-korcagin-krusevac,A848FA93AD6C
os-knez-lazar-veliki-kupci,A848FA93D9BC
hemijsko-tehnoloska-skola-krusevac,A848FA93C99C
os-sveti-sava-cacak,A848FA946598
os-jovan-kursula-kraljevo,A848FA942110
os-tanasko-rajic-cacak,3494540045EC
os-zivan-maricic-zica,0CDC7E3EFA3C
os-cibukovacki-partizani-kraljevo,0CDC7E3DA004
os-jovan-kursula-kraljevo,349454000FB0
os-jovan-popovic-krusevac,349454004210
os-velizar-stankovic-korcagin-krusevac,0CDC7E3DE72C
os-knez-lazar-veliki-kupci,0CDC7E3DDC60
hemijsko-tehnoloska-skola-krusevac,349454004448
os-sveti-sava-cacak,349454002AD4
os-tanasko-rajic-cacak,3494540041C4
prehrambeno-ugostiteljska-skola-cacak,349454002CAC
os-rifat-burdzevic-trso-novi-pazar,0CDC7E3DD1C4
os-mesa-selimovic-novi-pazar,0CDC7E3DA784
os-halifa-bin-zaid-al-nahjan-dojevice,0CDC7E3CB23C
os-rifat-burdzevic-trso-novi-pazar,0CDC7E3DDCFC
os-mesa-selimovic-novi-pazar,3494540037EC
os-halifa-bin-zaid-al-nahjan-dojevice,0CDC7E3DC268
os-raska,349454004704
os-sutjeska-raska,0CDC7E3DD6EC
os-josif-pancic-baljevac,0CDC7E3D9D40
os-mito-igumanovic-kosjeric,0CDC7E3DB290
tehnicka-skola-kosjeric,0CDC7E3D9A54
os-jordan-djukanovic-varda,349454002584
ovc-braca-nedic-osecina,0CDC7E3DA2F0
os-vojvoda-misic-pecka,0CDC7E3DD45C
os-sveti-sava-bajina-basta,349454005350
tehnicka-skola-bajina-basta,3494540028BC
os-dusan-jerkovic-bajina-basta,0CDC7E3DCC4C
os-mika-mitrovic-bogatic,3494540048AC
os-vuk-karadzic-bogatic,0CDC7E3DE4DC
os-janko-veselinovic-bogatic,3494540048EC
os-zivko-ljujic-nova-varos,349454004000
srednja-skola-nova-varos,349454002C54
os-gojko-drulovic-nova-varos,3494540024C0
os-svetozar-markovic-brodarevo,0CDC7E3DD474
os-milosav-stikovic-prijepolje,349454004224
gimnazija-prijepolje,3494540037AC
tehnicka-skola-gornji-milanovac,349454002204
os-desanka-maksimovic-gornji-milanovac,0CDC7E3EDAC0
os-ivo-andric-pranjani,349454004A40
os-zivan-maricic-zica,A848FA943ACC
tehnicka-skola-gornji-milanovac,349454004970
os-desanka-maksimovic-gornji-milanovac,0CDC7E3DA610
os-ivo-andric-pranjani,0CDC7E3DD778
os-raska,0CDC7E3DCAD8
os-sutjeska-raska,0CDC7E3DC104
os-josif-pancic-baljevac,0CDC7E3DCF04
os-mito-igumanovic-kosjeric,349454002D90
tehnicka-skola-kosjeric,349454003F00
os-jordan-djukanovic-varda,349454004634
ovc-braca-nedic-osecina,0CDC7E3DA5A4
os-vojvoda-misic-pecka,0CDC7E3D9BE0
os-sveti-sava-bajina-basta,0CDC7E3DCDB4
tehnicka-skola-bajina-basta,0CDC7E3DCC6C
os-dusan-jerkovic-bajina-basta,0CDC7E3DA0D4
os-mika-mitrovic-bogatic,0CDC7E3EFBEC
os-vuk-karadzic-bogatic,3494540040AC
os-janko-veselinovic-bogatic,0CDC7E3DB688
os-zivko-ljujic-nova-varos,3494540052A0
srednja-skola-nova-varos,0CDC7E3DB250
os-gojko-drulovic-nova-varos,3494540034E4
os-svetozar-markovic-brodarevo,349454004204
os-milosav-stikovic-prijepolje,3494540051F8
gimnazija-prijepolje,0CDC7E3DE548
os-zivan-maricic-zica,349454004978
os-cibukovacki-partizani-kraljevo,0CDC7E3DA8D4
os-slobodan-sekulic-uzice,A848FA94359C
os-slobodan-sekulic-uzice,A848FA9294CC
medicinska-skola-uzice,A848FA939C00
medicinska-skola-uzice,A848FA930B44
os-vuk-karadzic-loznica,A848FA942F88
os-vuk-karadzic-loznica,A848FA94569C
tehnicka-skola-loznica,A848FA9488DC
tehnicka-skola-loznica,A848FA929154
tehnicka-skola-uzice,A848FA93F400
tehnicka-skola-uzice,A848FA936150
os-cibukovacki-partizani-kraljevo,A848FA935460
os-vuk-karadzic-priboj,A848FA94558C
os-desanka-maksimovic-priboj,A848FA92EAFC
os-jovan-cvijic-loznica,A848FA948A50
os-nikola-tesla-pribojska-banja,A848FA942040
os-vuk-karadzic-priboj,A848FA92C0F0
prehrambeno-ugostiteljska-skola-cacak,A848FA935914
os-jovan-cvijic-loznica,A848FA92A434
os-nikola-tesla-pribojska-banja,A848FA9474B8
os-desanka-maksimovic-priboj,A848FA925D30
